time step (dt), time (t) ,Total Energy, potential energy(E_pot) , kinetic energy (E_kin)
0.1,11.7,-3328.41,-3328.41,4.55127e-05
0.1,11.8,-3328.42,-3328.42,4.62687e-05
0.1,11.9,-3328.44,-3328.44,4.70304e-05
0.1,12,-3328.45,-3328.45,4.77979e-05
0.1,12.1,-3328.47,-3328.47,4.85711e-05
0.1,12.2,-3328.49,-3328.49,4.93501e-05
0.1,12.3,-3328.5,-3328.5,5.01347e-05
0.1,12.4,-3328.52,-3328.52,5.0925e-05
0.1,12.5,-3328.53,-3328.53,5.1721e-05
0.1,12.6,-3328.55,-3328.55,5.25226e-05
0.1,12.7,-3328.57,-3328.57,5.33299e-05
0.1,12.8,-3328.58,-3328.58,5.41427e-05
0.1,12.9,-3328.6,-3328.6,5.49612e-05
0.1,13,-3328.62,-3328.62,5.57853e-05
0.1,13.1,-3328.63,-3328.63,5.6615e-05
0.1,13.2,-3328.65,-3328.65,5.74502e-05
0.1,13.3,-3328.67,-3328.67,5.82909e-05
0.1,13.4,-3328.68,-3328.68,5.91372e-05
0.1,13.5,-3328.7,-3328.7,5.9989e-05
0.1,13.6,-3328.72,-3328.72,6.08462e-05
0.1,13.7,-3328.74,-3328.74,6.1709e-05
0.1,13.8,-3328.76,-3328.76,6.25772e-05
0.1,13.9,-3328.77,-3328.77,6.34508e-05
0.1,14,-3328.79,-3328.79,6.43299e-05
0.1,14.1,-3328.81,-3328.81,6.52144e-05
0.1,14.2,-3328.83,-3328.83,6.61042e-05
0.1,14.3,-3328.85,-3328.85,6.69995e-05
0.1,14.4,-3328.86,-3328.86,6.79e-05
0.1,14.5,-3328.88,-3328.88,6.8806e-05
0.1,14.6,-3328.9,-3328.9,6.97172e-05
0.1,14.7,-3328.92,-3328.92,7.06338e-05
0.1,14.8,-3328.94,-3328.94,7.15556e-05
0.1,14.9,-3328.96,-3328.96,7.24827e-05
0.1,15,-3328.98,-3328.98,7.3415e-05
0.1,15.1,-3329,-3329,7.43526e-05
0.1,15.2,-3329.01,-3329.01,7.52954e-05
0.1,15.3,-3329.03,-3329.03,7.62434e-05
0.1,15.4,-3329.05,-3329.05,7.71966e-05
0.1,15.5,-3329.07,-3329.07,7.81549e-05
0.1,15.6,-3329.09,-3329.09,7.91184e-05
0.1,15.7,-3329.11,-3329.11,8.0087e-05
0.1,15.8,-3329.13,-3329.13,8.10607e-05
0.1,15.9,-3329.15,-3329.15,8.20395e-05
0.1,16,-3329.17,-3329.17,8.30234e-05
0.1,16.1,-3329.19,-3329.19,8.40123e-05
0.1,16.2,-3329.21,-3329.21,8.50062e-05
0.1,16.3,-3329.23,-3329.23,8.60052e-05
0.1,16.4,-3329.25,-3329.25,8.70091e-05
0.1,16.5,-3329.27,-3329.27,8.8018e-05
0.1,16.6,-3329.3,-3329.3,8.90319e-05
0.1,16.7,-3329.32,-3329.32,9.00507e-05
0.1,16.8,-3329.34,-3329.34,9.10745e-05
0.1,16.9,-3329.36,-3329.36,9.21031e-05
0.1,17,-3329.38,-3329.38,9.31366e-05
0.1,17.1,-3329.4,-3329.4,9.4175e-05
0.1,17.2,-3329.42,-3329.42,9.52182e-05
0.1,17.3,-3329.44,-3329.44,9.62662e-05
0.1,17.4,-3329.46,-3329.46,9.7319e-05
0.1,17.5,-3329.49,-3329.49,9.83766e-05
0.1,17.6,-3329.51,-3329.51,9.9439e-05
0.1,17.7,-3329.53,-3329.53,0.000100506
0.1,17.8,-3329.55,-3329.55,0.000101578
0.1,17.9,-3329.57,-3329.57,0.000102655
0.1,18,-3329.6,-3329.6,0.000103736
0.1,18.1,-3329.62,-3329.62,0.000104822
0.1,18.2,-3329.64,-3329.64,0.000105912
0.1,18.3,-3329.66,-3329.66,0.000107007
0.1,18.4,-3329.68,-3329.68,0.000108107
0.1,18.5,-3329.71,-3329.71,0.000109211
0.1,18.6,-3329.73,-3329.73,0.00011032
0.1,18.7,-3329.75,-3329.75,0.000111434
0.1,18.8,-3329.78,-3329.78,0.000112552
0.1,18.9,-3329.8,-3329.8,0.000113674
